Novel_Title,Review
전지적 독자 시점,"장마갤 물타기 리뷰때문에 너무 저평가 되고 있는 작품 (당장 리뷰수만 봐도 알수 있음. 가장 많은 리뷰수를 가진 작품인데 과연 그 안에 제대로 영양가 있는 댓글이 과연 몇이나 될까? 그저 비난과 악의적 폄훼만 가득함) 말 많이 나오는 bl요소는 커뮤니티 보기 전까지 생각도 못했음 개그식으로 아주 약하게 언급되는게 다임 중후반부에 루즈해지는 느낌이 있어 그게 아쉽지만 결말에서 그 감정을 훌훌 털어낼 수 있었음 창작을 하거나 이야기와 사람, 작가와 독자의 관계성에 관심이 있는 사람이라면 꼭 읽어봤으면 하는 소설 아마 베르나르의 소설을 좋아하는 사람이라면 이 소설 또한 굉장히 좋아할 것 같음. 그래서 다만 단순히 가볍게 즐기기위해 웹소설을 읽는 사람보단 이야기가 가진 가치와 복선, 비유, 장치 등 좀 더 심화적인 것에 흥미를 느끼는 사람에게 더 추천함 소설이 가지고 있는 메타성과 작품 사이사이 특정 요소들은 처음읽거나 가볍게 읽을 때엔 놓치기 쉬우니 여러번 정독해서 읽었으면 좋겠음."
전지적 독자 시점,"BL 요소로 인해 특정 소비층에게 저평가 받는 점이 아쉽다. 다만 딱히 고평가 받을 이유도 없을 뿐더러, 최근 논란이 되고 있는 타 장르 작가에 대한 노골적이고 뻔뻔한 인신 공격을 감안하면 우수한 상업적 성과에 비해 좋은 평가를 주고 싶은 마음이 들지 않는다."
전지적 독자 시점,작가마인드가 나는 클리셰 남은 표절마인드가심하고 본인은 악플때문에 고생했다면서 루머로 악플받던 상대작가는 생각도 안하는등 내로남불 성향이크고 모든전개가 원패턴임 사건->싸움->짐->희생->오열(동료)->부활->감성
전지적 독자 시점,소재가 아까움 감정 과잉 주제의식 붕괴 돈을 위해 최소한의 작품성도 버린 누더기 골렘
전지적 독자 시점,작품은 나쁘지 않았다고 생각하지만 BL 팬들을 의식한 내용이 좀...  트위터를 본진으로 두고 행동하는 팬덤이 매우 악질.
전지적 독자 시점,"사람마다 취향이 갈린다고 하는데 내가 보기엔 최악의 작품 중 하나. 약 100화까지 읽었고 읽다가 도저히 재미도 없고 글 자체가 역겨워서 하차함. 마냥 있어보이려고 폼잡기에만 급급한, 허세에 가득찬 역겨운 문체가 가장 불쾌했고 이야기는 재미가 없었음. 개인적으로는 정말 안 맞았던 소설."
전지적 독자 시점,파쿠리를 파쿠리해서 파쿠리 된 소설. 그걸 감안해도 초반부에 꽤 재밌다. 하지만 BL 계층을 과하게 의식한 캐릭간의 연출. 내가 BL도 본다지만 이건 안 넣어도 될 걸 넣어서 문제임.
전지적 독자 시점,주인공이 자살해서 모든걸 해결함.
전지적 독자 시점,"bl물이면서 아닌척 하는 함정소설의 시발점 이 소설 보고 재밌다는 사람은 페미, 부녀자, 게이, 정신병자 이 넷 중 하나임"
전지적 독자 시점,"이게 왜 평점 1점대인지 모르겠다. 작품성만 따지면 탑매니지먼트, 재벌집 막내아들과 더불어 문피아 웹소설 시장에 한 획을 그은 작품. 독자가 성좌가 되는 부분부터 개연성이나 에피소드가 많이 아쉬워졌지만 그전까지의 전개는 경이스러울 정도. 안 읽어본 사람은 무조건 읽어보길."
전지적 독자 시점,"‘그 팬덤’은 웹소설을 이것밖에 안읽어봐서 이게 오리지널리티 넘치는 소설이라 주장하지만, 사실 그냥 인기있던 기존 소설들 클리셰 가져다 잘 버무린 소설.  그래도 뇌절하기 전인 초반부는 볼만하다."
전지적 독자 시점,인기가 있어서 꾸역꾸역 봤지만 재밌진 않았던 소설. 난 아직도 이게 왜 인기를 끌었는지 모르겠다. 부활 뇌절은 대체 무슨 생각으로...
전지적 독자 시점,다른 사람들의 리뷰도 사실 크게 틀린 것은 아님 뭐... 개인 차이가 있는 거긴 한데 나도 어느 부분의 공감하는 것도 있음. 다만 이곳의 평은 무섭구나 함. 세계관도 정말 넓긴 한데... 다음 작품에서는 그냥 다른 판타지 처럼 완전히 새로운 판타지 세계를 쓰는 것도 좋을 듯 확실히 작가가 글을 잘 쓰고 어삭하거나 이상한 부분도 크게 없음 비엘은 잘 모르겠으나 읽는 데에 큰 불평을 가져본 적은 없음. 영화로 5섯편 제작된다고도 함 신과 함께 제작사 에서 만든다고 하는데 큰 기대는 안함 그리고 다른 작가가 표절했다는 말이 많은데... 그건 사실 동의하기 조금 어러움 어쩔 수 없이 세계관을 빌려 쓰고 그러면 겹치는 부분이 많은 건 당연할지도 모르고 아마 이전의 작품과 이것역시 비슷한 부분은 많을 지도 모름 여튼 그래도 난 기승전결 좋은 작품중 하나인 것 만큼은 확실하다고 생각하는 바임.
전지적 독자 시점,이게 싱숑 예전 작부터 보이던 문제인데 뭔가 순문충 코스프레하려는 성향이 너무 강함. 정작 작중 에피소드들은 주제의식이랑 전혀 관련없다가 막판에 후다닥 주제의식 있는척 끼워파는게 너무 거부감느껴지고 메타픽션으로써의 완성도도 너무 떨어짐
전지적 독자 시점,"분류상 현대판타지에 더 가까운게 아닐까, 초반에는 남녀를 가리지 않고 재밌게 읽히는 범용적인 소설이었으나 작가가 돈맛을 본뒤로 BL요소로 가득해서 정상적인 성관념을 가진 남성에겐 역하고 냄새나는 게이물소설로 변질되어버렸다."
전지적 독자 시점,전독시<<<<<<<<<<<<<<<<<<<<<메모라이즈
전지적 독자 시점,희대의 거품  성좌들 말하는거만 봐도 수준을 알수있음 정박아수준의 중2들이 성좌임 세계단위로 놀던 성좌들이 기어가던 개미가 돌들어올리는거보고 감탄해서 포인트 뿌리겠냐 초월자를 집어넣었으면 엇비슷하게라도 묘사를 했어야지 정박아를 만들어놨누  존나 유치한데 뭐가 갑자기 서사시고 어쩌고 하면서 격이 오르냐 아으...
전지적 독자 시점,더 할말이 없음
전지적 독자 시점,팬덤이나 ㅁ/ㅁ이나 딱 짱깨 그 이상 그 이하도 아니라 역겨운 소설 잘 썻으면 말도 안하는데 딱 베낀 1부만 괜찮은편이고 나머진 감정과잉 이해할수 없는 행동 원패턴으로 작가의 역량을 보여줌  환생좌가 2015년작 13회귀 튜토하드가 2016년작으로 하나도 안 닮은 다른작가 작품은 짱깨같은 팬덤들 동원해서 조져놓고 막상 이거 다른 작품 파쿠리 아님? 논란 들어오니까 5년부터 생각했다는 짱깨적 발상에  유중혁은 대놓고 13회귀 주인공인 주공혁 파쿠리 회귀에 시스템 변경 무공에 거인화 그마저도 강한수나 주공혁 이호재가 가지는 고뇌와 신념 이런것도 없고 회귀할때마다 강해지는데도 불구하고 1800가량 뒤져야 세계를 구하는 씹게이캐릭 그런 능력이 있었으면 옆집 뽀삐도 세계를 구했겠다  김독자라는 얘도 지가 어릴적에 아버지 죽여놓고 죄 뒤집어 쓴 어머니한테 지가 쳐보는 웹소설이야기하면서 나중엔 지 엄마 아니라고 여신한테 가서 엄마 ㅇㅈㄹ하고 이게 사람새끼냐? 독독삶 언급할때부터 사회부적응자인건 알아챘는데  초반에 웹소설 주인공처럼 나를 위해 살겠다 이러면서 지 이득만 챙기던 놈이 갑자기 사람을 위해서 희생한다 이러면서 주위에서 선량하고 착한놈으로 떠받들여주는것도 이해가 안되고  ㅁ/ㅁ는 초반 식량으로 사람들 통제하던 장면은 대체 뭔 생각으로 환생좌랑 똑같이 써놨는지도 잘 모르겠고  쉴드친다고 말도 안되는 칭찬을 써놓는 얘들은 대체 개연성 운운하는 지루한 설정딸에 어떻게 재밌게 읽는지 어떤 정상인이 이걸 읽는지 물어보고싶을정도임
